_step,learner/env_steps,learner/decomp/shared_score_fraction,learner/decomp/scaled_shared_to_task_norm,learner/decomp/shared_task_cosine,learner/decomp/shared_goal_score_abs,learner/decomp/task_goal_score_abs,learner/decomp/shared_norm,learner/decomp/task_norm,learner/categorical_accuracy,learner/binary_accuracy,learner/decomp/L_dyn,learner/actor_loss,learner/entropy_mean,run_id,seed,alpha
24600.0,10050,0.0,0.0,0.06514380872249603,0.0,1.5737106800079346,20.225526809692383,11.221763610839844,0.5845947265625,0.9961080551147461,4.481227369979024e-05,33.16340637207031,1.1384204626083374,ofzrndo9,7,0.0
36600.0,20100,0.0,0.0,0.06735218316316605,0.0,1.4805538654327393,19.187971115112305,11.63890266418457,0.6932373046875,0.9965877532958984,4.686684405896813e-05,41.802066802978516,-3.5014255046844482,ofzrndo9,7,0.0
46350.0,30150,0.0,0.0,0.09932833164930344,0.0,1.3221452236175537,18.214004516601562,12.74083137512207,0.7154541015625,0.9967575073242188,4.164821802987717e-05,39.55439758300781,-6.137722969055176,ofzrndo9,7,0.0
56700.0,40200,0.0,0.0,0.10703112185001373,0.0,1.61094331741333,16.831573486328125,9.685434341430664,0.67071533203125,0.996243953704834,4.338276630733162e-05,20.467994689941406,-8.96298599243164,ofzrndo9,7,0.0
66900.0,50250,0.0,0.0,0.1033838540315628,0.0,1.1402146816253662,15.752999305725098,14.449222564697266,0.80029296875,0.9971668720245361,4.153299596509896e-05,57.636993408203125,-8.851922988891602,ofzrndo9,7,0.0
76650.0,60300,0.0,0.0,0.12062637507915497,0.0,1.2242770195007324,14.471660614013672,15.103581428527832,0.84466552734375,0.9973559379577637,3.83307778974995e-05,61.79369354248047,-10.040426254272461,ofzrndo9,7,0.0
85050.0,70350,0.0,0.0,0.14062637090682983,0.0,1.1438498497009277,13.44078254699707,15.332954406738281,0.84002685546875,0.9973106384277344,4.054508826811798e-05,58.266632080078125,-9.550440788269043,ofzrndo9,7,0.0
95700.0,80400,0.0,0.0,0.1452624797821045,0.0,1.0618500709533691,12.949882507324219,16.267715454101562,0.858642578125,0.9974496364593506,3.5746801586356014e-05,66.57147216796875,-7.095765113830566,ofzrndo9,7,0.0
106050.0,90450,0.0,0.0,0.14351141452789307,0.0,1.153439998626709,12.499956130981445,15.580413818359375,0.882568359375,0.9975175857543945,3.4288335882592946e-05,64.2132339477539,-7.7271223068237305,ofzrndo9,7,0.0
117000.0,100500,0.0,0.0,0.1601298600435257,0.0,1.0008400678634644,11.870244979858398,15.146050453186035,0.86260986328125,0.9974143505096436,3.5263263271190226e-05,54.20254898071289,-8.515397071838379,ofzrndo9,7,0.0
125100.0,110550,0.0,0.0,0.18631401658058167,0.0,1.0024962425231934,11.521820068359375,13.445545196533203,0.884521484375,0.9974877834320068,3.124487557215616e-05,47.77717971801758,-7.480501174926758,ofzrndo9,7,0.0
135600.0,120600,0.0,0.0,0.18408600986003876,0.0,1.0833402872085571,11.228353500366211,17.333702087402344,0.9012451171875,0.9976317882537842,2.6765861548483372e-05,83.45596313476562,-9.18065357208252,ofzrndo9,7,0.0
145200.0,130650,0.0,0.0,0.18690434098243713,0.0,1.044327735900879,10.985673904418945,16.176937103271484,0.90863037109375,0.9976534843444824,2.7039175620302558e-05,77.82813262939453,-9.274238586425781,ofzrndo9,7,0.0
154800.0,140700,0.0,0.0,0.21213290095329285,0.0,1.0060973167419434,10.790694236755371,12.242860794067383,0.896240234375,0.9975664615631104,3.027907405339647e-05,32.503936767578125,-9.042167663574219,ofzrndo9,7,0.0
167100.0,150750,0.0,0.0,0.19593626260757446,0.0,0.9337620735168457,10.498525619506836,16.804367065429688,0.91192626953125,0.9976880550384521,2.7101783416583203e-05,84.87167358398438,-9.086267471313477,ofzrndo9,7,0.0
177450.0,160800,0.0,0.0,0.2067536562681198,0.0,1.0313204526901245,10.279865264892578,17.68219757080078,0.91412353515625,0.9977149963378906,2.7316569685353898e-05,88.4950180053711,-9.223024368286133,ofzrndo9,7,0.0
185250.0,170850,0.0,0.0,0.21779130399227142,0.0,3.6740784645080566,10.248916625976562,14.780889511108398,0.77227783203125,0.9964950084686279,2.7557334760786034e-05,59.03188705444336,-6.791196823120117,ofzrndo9,7,0.0
195900.0,180900,0.0,0.0,0.2334865927696228,0.0,0.8616922497749329,10.146843910217285,14.949111938476562,0.91754150390625,0.9976418018341064,2.6849007554119453e-05,55.54549026489258,-6.224729537963867,ofzrndo9,7,0.0
205500.0,190950,0.0,0.0,0.22038711607456207,0.0,0.9558336138725281,9.992420196533203,16.900999069213867,0.9388427734375,0.9977672100067139,2.456600486766547e-05,80.50439453125,-7.389801979064941,ofzrndo9,7,0.0
217200.0,201000,0.0,0.0,0.24105244874954224,0.0,0.9932264685630798,9.88536548614502,17.65335464477539,0.90478515625,0.9976334571838379,2.5193157853209414e-05,95.41438293457031,-7.391445636749268,ofzrndo9,7,0.0
225450.0,211050,0.0,0.0,0.23165175318717957,0.0,2.3945424556732178,9.9179105758667,12.215961456298828,0.82489013671875,0.9966058731079102,2.648699955898337e-05,36.392662048339844,-7.436009883880615,ofzrndo9,7,0.0
237750.0,221100,0.0,0.0,0.24540503323078156,0.0,0.8294081091880798,9.714746475219727,15.056169509887695,0.9156494140625,0.9977421760559082,2.3700158635620028e-05,59.26557159423828,-6.931228160858154,ofzrndo9,7,0.0
247500.0,231150,0.0,0.0,0.258786141872406,0.0,0.8598393201828003,9.837939262390137,16.152420043945312,0.9283447265625,0.997779130935669,2.2208190785022452e-05,81.16078186035156,-6.575198650360107,ofzrndo9,7,0.0
255600.0,241200,0.0,0.0,0.2601025700569153,0.0,0.9760563373565674,9.721543312072754,17.15135955810547,0.933349609375,0.9977724552154541,2.1350042516132817e-05,93.70885467529297,-7.917168617248535,ofzrndo9,7,0.0
266551.0,251250,0.0,0.0,0.25458019971847534,0.0,1.0135877132415771,9.520818710327148,17.201725006103516,0.93536376953125,0.9977626800537109,2.4047010811045766e-05,96.80783081054688,-7.42968225479126,ofzrndo9,7,0.0
