run_id,seed,alpha,state,eval_points,max_eval_step,success_250k,success_500k,success_750k,success_1m,success_best,success_final3,success_auc,steps_to_20,steps_to_40,decomp_shared_score_fraction_tail,decomp_scaled_shared_to_task_norm_tail,decomp_shared_task_cosine_tail,decomp_shared_goal_score_abs_tail,decomp_task_goal_score_abs_tail,decomp_shared_norm_tail,decomp_task_norm_tail,categorical_accuracy_tail,binary_accuracy_tail,decomp_L_dyn_tail,actor_loss_tail,entropy_mean_tail
x3243e9i,5,0.0,finished,19,951900.0,0.1,0.0,0.0,0.0,0.4,0.03333333333333333,0.11052631578947368,100200.0,100200.0,0.0,0.0,0.33175053000450133,0.0,0.7180007457733154,7.737329435348511,18.102538299560546,0.981903076171875,0.9980228900909424,1.296225536862039e-05,102.38509826660156,-8.310000324249268
z8ajsuvz,6,0.0,finished,19,951900.0,0.0,0.0,0.0,0.1,0.2,0.06666666666666667,0.039473684210526314,50100.0,,0.0,0.0,0.26682461202144625,0.0,0.6494747996330261,6.456513738632202,13.451393604278564,0.983148193359375,0.9980346441268921,1.797229142539436e-05,85.16853637695313,-6.348418378829956
ofzrndo9,7,0.0,finished,19,951900.0,0.1,0.0,0.0,0.1,0.3,0.13333333333333333,0.07631578947368421,400800.0,,0.0,0.0,0.30274562537670135,0.0,0.721534925699234,7.4564149379730225,13.902306938171387,0.981903076171875,0.9980173587799073,1.112071840907447e-05,80.10117034912109,-5.9058397769927975
z096oju3,5,0.25,finished,19,951900.0,0.1,0.0,0.3,0.1,0.6,0.19999999999999998,0.19736842105263158,150300.0,300600.0,0.4965061992406845,7.1007428646087645,0.12038622796535492,4.402970242500305,4.4287893056869505,61.42075309753418,2.459848690032959,0.9829345703125,0.998030138015747,4.73711213999195e-05,154.13275756835938,-6.761235094070434
fjkzg68o,6,0.25,finished,19,951900.0,0.0,0.3,0.3,0.1,0.8,0.3333333333333333,0.3078947368421053,200400.0,200400.0,0.49978049099445343,3.2222867727279665,0.05320521257817745,61.5894962310791,61.636885452270505,60.22776908874512,5.023902797698975,0.97967529296875,0.9979992866516113,7.535443510278128e-05,224.82254638671876,-8.1902747631073
blc5muho,7,0.25,finished,19,951900.0,0.0,0.0,0.0,0.1,0.2,0.13333333333333333,0.06578947368421052,601200.0,,0.49864778220653533,7.956718492507934,0.1531073957681656,8.808445167541503,8.740966606140137,56.28601570129395,1.9865567207336425,0.968853759765625,0.9979413032531739,5.852074609720148e-05,155.65741882324218,-6.995515298843384
zmjpp67l,5,0.5,finished,19,951900.0,0.0,0.3,0.1,0.1,0.4,0.10000000000000002,0.15526315789473685,50100.0,300600.0,0.5133550822734833,7.02625093460083,0.08319772854447365,1.4216004610061646,1.3251280903816223,35.95828342437744,3.0734426736831666,0.979534912109375,0.998012924194336,5.55523278308101e-05,140.93007583618163,-5.652322244644165
52wy3hgf,6,0.5,finished,19,951900.0,0.2,0.5,0.6,0.2,0.6,0.3333333333333333,0.2736842105263158,150300.0,501000.0,0.5067907989025116,5.289642643928528,0.07183685973286628,2.2061532616615294,2.145222508907318,32.58793907165527,3.829650115966797,0.983001708984375,0.9980064392089844,7.07758154021576e-05,208.32826080322266,-7.47113733291626
oyhxyevi,7,0.5,finished,19,951900.0,0.0,0.0,0.3,0.1,0.3,0.06666666666666667,0.05526315789473684,601200.0,,0.49938237965106963,6.684772300720215,0.07464218437671662,2.2878894448280334,2.2595864057540895,34.95127582550049,3.075003671646118,0.9826416015625,0.9980227947235107,5.6452733770129274e-05,151.1954658508301,-6.336249589920044
74oafhj5,5,0.75,finished,19,951900.0,0.3,0.4,0.3,0.1,0.6,0.06666666666666667,0.18157894736842106,150300.0,450900.0,0.5236150979995727,6.89831953048706,0.07394376769661903,1.3280593872070312,1.1801813185214995,26.636247062683104,3.482206130027771,0.98282470703125,0.9980110406875611,6.601731111004483e-05,134.6179443359375,-5.9497252941131595
se6k2hvf,6,0.75,finished,19,951900.0,0.2,0.6,0.3,0.3,0.8,0.30000000000000004,0.36578947368421055,50100.0,150300.0,0.5060622334480286,5.296187400817871,0.05322994664311409,2.673926496505737,2.604224705696106,24.65324764251709,4.178446292877197,0.979937744140625,0.9979963064193725,7.323502941289917e-05,220.83583984375,-6.664761066436768
vxnup1te,7,0.75,finished,19,951900.0,0.0,0.1,0.2,0.3,0.3,0.2333333333333333,0.08157894736842106,551100.0,,0.5159949451684952,6.481724548339844,0.06314351707696915,1.6449938774108888,1.5176080346107483,26.94063949584961,3.5684428930282595,0.983282470703125,0.9980276346206665,5.6869713807827794e-05,149.76126251220703,-5.5958699703216555
9x7u1w2p,5,1.0,finished,19,951900.0,0.0,0.2,0.2,0.1,0.5,0.16666666666666666,0.16052631578947368,300600.0,601200.0,0.5133363842964173,7.533165502548218,0.06425424851477146,1.9808780431747437,1.6953601598739625,23.24180335998535,3.6847076177597047,0.970037841796875,0.9979326009750367,6.882203815621324e-05,147.18208770751954,-6.180401706695557
f403ebaz,6,1.0,finished,19,951900.0,0.1,0.4,0.1,0.2,0.8,0.3,0.26842105263157895,100200.0,150300.0,0.49959605634212495,6.149129199981689,0.026790687814354897,4.444343304634094,4.402882981300354,20.46802806854248,3.9313529253005983,0.98369140625,0.9980260133743286,7.387005753116682e-05,216.3188735961914,-6.683315992355347
3sc53b5e,7,1.0,finished,19,951900.0,0.2,0.2,0.3,0.4,0.8,0.2333333333333333,0.24736842105263157,150300.0,400800.0,0.5009814113378525,6.6086431503295895,0.06688514053821563,2.1947290301322937,2.103384518623352,21.312298202514647,3.7139333963394163,0.982171630859375,0.9980005741119384,5.427667929325253e-05,134.82012634277345,-6.305007791519165
zzmh3x9x,5,1.5,finished,19,951900.0,0.2,0.5,0.2,0.1,0.7,0.2333333333333333,0.2710526315789474,100200.0,100200.0,0.4947535216808319,7.149198198318482,0.044376527145504954,2.9459532260894776,2.898952054977417,19.07446632385254,4.68788709640503,0.98345947265625,0.9980132341384887,6.38656860246556e-05,158.55047302246095,-5.8225603103637695
