alpha,eval_points_mean,eval_points_std,max_eval_step_mean,max_eval_step_std,success_250k_mean,success_250k_std,success_500k_mean,success_500k_std,success_750k_mean,success_750k_std,success_1m_mean,success_1m_std,success_best_mean,success_best_std,success_final3_mean,success_final3_std,success_auc_mean,success_auc_std,steps_to_20_mean,steps_to_20_std,steps_to_40_mean,steps_to_40_std,decomp_shared_score_fraction_tail_mean,decomp_shared_score_fraction_tail_std,decomp_scaled_shared_to_task_norm_tail_mean,decomp_scaled_shared_to_task_norm_tail_std,decomp_shared_task_cosine_tail_mean,decomp_shared_task_cosine_tail_std,decomp_shared_goal_score_abs_tail_mean,decomp_shared_goal_score_abs_tail_std,decomp_task_goal_score_abs_tail_mean,decomp_task_goal_score_abs_tail_std,decomp_shared_norm_tail_mean,decomp_shared_norm_tail_std,decomp_task_norm_tail_mean,decomp_task_norm_tail_std,categorical_accuracy_tail_mean,categorical_accuracy_tail_std,binary_accuracy_tail_mean,binary_accuracy_tail_std,decomp_L_dyn_tail_mean,decomp_L_dyn_tail_std,actor_loss_tail_mean,actor_loss_tail_std,entropy_mean_tail_mean,entropy_mean_tail_std
0.0,19.0,0.0,951900.0,0.0,0.06666666666666667,0.05773502691896258,0.0,0.0,0.0,0.0,0.06666666666666667,0.05773502691896258,0.3,0.10000000000000002,0.07777777777777777,0.05091750772173155,0.07543859649122807,0.035534437018472094,183700.0,189675.53874972914,100200.0,,0.0,0.0,0.0,0.0,0.30044025580088296,0.032524294813976055,0.0,0.0,0.6963368237018585,0.040622156291955536,7.216752703984579,0.6732018286063772,15.1520796140035,2.5650995204971774,0.9823181152343751,0.0007188687433757419,0.9980249643325806,8.82738148474477e-06,1.4018421734363071e-05,3.5457902847722513e-06,89.21826833089193,11.68090782139518,-6.854752826690674,1.279561610108691
0.25,19.0,0.0,951900.0,0.0,0.03333333333333333,0.05773502691896258,0.09999999999999999,0.17320508075688773,0.19999999999999998,0.17320508075688773,0.10000000000000002,0.0,0.5333333333333333,0.30550504633038933,0.2222222222222222,0.1018350154434631,0.19035087719298247,0.12120509087309388,317300.0,247137.431402044,250500.0,70852.09947489206,0.4983114908138911,0.0016628486244318031,6.093249376614889,2.5228938292320637,0.10889961210389931,0.05093199691248096,24.93363721370697,31.821235874096534,24.93554712136586,31.85733659186348,59.31151262919108,2.6871967655612545,3.1567694028218587,1.6342097961246638,0.9771545410156249,0.007371088740554833,0.9979902426401774,4.5102653663223046e-05,6.041543419996742e-05,1.408754214557192e-05,178.20424092610676,40.379833469192626,-7.31567505200704,0.7664302281223052
0.5,19.0,0.0,951900.0,0.0,0.06666666666666667,0.11547005383792516,0.26666666666666666,0.2516611478423583,0.3333333333333333,0.2516611478423583,0.13333333333333333,0.05773502691896258,0.43333333333333335,0.15275252316519466,0.16666666666666666,0.14529663145135577,0.16140350877192985,0.10933991489773087,267200.0,293559.210381824,400800.0,141704.19894978413,0.5065094202756881,0.006990599766280818,6.333555293083191,0.9200364822375646,0.07655892421801885,0.0059180025137764766,1.9718810558319089,0.47830612654552995,1.90997900168101,0.5097133670616143,34.499166107177736,1.7300600168875548,3.3260321537653605,0.43614664743364207,0.98172607421875,0.0019061250958404626,0.9980140527089437,8.23595002233366e-06,6.092695900103233e-05,8.54123305040789e-06,166.81793416341145,36.31356456403138,-6.486569722493489,0.9186779566443457
0.75,19.0,0.0,951900.0,0.0,0.16666666666666666,0.15275252316519466,0.3666666666666667,0.2516611478423583,0.26666666666666666,0.05773502691896256,0.2333333333333333,0.11547005383792514,0.5666666666666667,0.2516611478423583,0.19999999999999998,0.12018504251546633,0.20964912280701756,0.14416954213369657,250500.0,265104.281368672,300600.0,212556.29842467618,0.5152240922053655,0.008801785285343432,6.225410493214926,0.8312517737548102,0.06343907713890075,0.010360072995486708,1.8823265870412191,0.7036225410462416,1.7673380196094512,0.7441429239027411,26.076711400349936,1.242115329081788,3.743031771977743,0.37953728220133637,0.9820149739583334,0.0018134358774174277,0.9980116605758668,1.5673297202956222e-05,6.537401811025727e-05,8.201600948966e-06,168.40501556396484,46.03339572897284,-6.0701187769571945,0.5445208782700891
1.0,19.0,0.0,951900.0,0.0,0.10000000000000002,0.1,0.26666666666666666,0.11547005383792516,0.19999999999999998,0.09999999999999998,0.23333333333333336,0.15275252316519466,0.7000000000000001,0.17320508075688776,0.2333333333333333,0.06666666666666667,0.22543859649122808,0.0571927133779054,183700.0,104291.46657325324,384100.0,225913.412616427,0.5046379506587982,0.007564843879888986,6.7636459509531655,0.7049173872563868,0.05264335895578067,0.02242768048795477,2.8733167926470435,1.3647440372393378,2.7338758865992223,1.4597292491949474,21.67404321034749,1.421830485632425,3.776664646466573,0.1347586147148761,0.9786336263020834,0.0074828512449781415,0.9979863961537679,4.829316679182594e-05,6.565625832687753e-05,1.017308896743585e-05,166.1070292154948,43.92182269987595,-6.389575163523356,0.26190537410665254
1.5,19.0,0.0,951900.0,0.0,0.10000000000000002,0.1,0.3,0.2,0.3333333333333333,0.23094010767585027,0.16666666666666666,0.11547005383792514,0.5333333333333333,0.20816659994661327,0.2333333333333333,0.06666666666666667,0.19385964912280704,0.07900582631015932,233800.0,115700.993945601,200400.0,141704.19894978413,0.4979693353176116,0.0030279194851539244,7.0498736858367925,0.885391611722426,0.030267612215053908,0.018352369908741735,4.113496049245199,1.8606080620609333,3.96051496664683,1.9507185076765592,17.9206574122111,2.2979262373136784,4.448397827148438,0.21962902733210943,0.9781331380208332,0.005792349950589096,0.9979830423990886,5.083468968641988e-05,7.068435079418124e-05,1.0493611312125001e-05,181.54093831380206,34.44086309363501,-6.147609011332194,0.4511603750509895
