_step,evaluator/env_steps,evaluator/success_rate,run_id,seed,alpha
264750,250500,0.2,zzmh3x9x,5,1.5
317250,300600,0.3,zzmh3x9x,5,1.5
366750,350700,0.2,zzmh3x9x,5,1.5
417000,400800,0.3,zzmh3x9x,5,1.5
467550,450900,0.3,zzmh3x9x,5,1.5
516300,501000,0.5,zzmh3x9x,5,1.5
566850,551100,0.2,zzmh3x9x,5,1.5
617550,601200,0.5,zzmh3x9x,5,1.5
666900,651300,0.7,zzmh3x9x,5,1.5
716550,701400,0.4,zzmh3x9x,5,1.5
766650,751500,0.2,zzmh3x9x,5,1.5
817350,801600,0.2,zzmh3x9x,5,1.5
867900,851700,0.1,zzmh3x9x,5,1.5
917250,901800,0.5,zzmh3x9x,5,1.5
968100,951900,0.1,zzmh3x9x,5,1.5
64800,50100,0.0,9qpjrt0b,7,1.5
115950,100200,0.1,9qpjrt0b,7,1.5
166650,150300,0.1,9qpjrt0b,7,1.5
216000,200400,0.0,9qpjrt0b,7,1.5
264750,250500,0.0,9qpjrt0b,7,1.5
316200,300600,0.5,9qpjrt0b,7,1.5
367350,350700,0.0,9qpjrt0b,7,1.5
417150,400800,0.2,9qpjrt0b,7,1.5
465450,450900,0.2,9qpjrt0b,7,1.5
517500,501000,0.3,9qpjrt0b,7,1.5
565800,551100,0.0,9qpjrt0b,7,1.5
616200,601200,0.3,9qpjrt0b,7,1.5
665850,651300,0.3,9qpjrt0b,7,1.5
716550,701400,0.1,9qpjrt0b,7,1.5
766500,751500,0.6,9qpjrt0b,7,1.5
817050,801600,0.3,9qpjrt0b,7,1.5
866250,851700,0.3,9qpjrt0b,7,1.5
916350,901800,0.3,9qpjrt0b,7,1.5
968250,951900,0.3,9qpjrt0b,7,1.5
65400,50100,0.1,c7avgpwq,6,1.5
114600,100200,0.0,c7avgpwq,6,1.5
164550,150300,0.1,c7avgpwq,6,1.5
217050,200400,0.1,c7avgpwq,6,1.5
266400,250500,0.1,c7avgpwq,6,1.5
316800,300600,0.2,c7avgpwq,6,1.5
366450,350700,0.0,c7avgpwq,6,1.5
417300,400800,0.0,c7avgpwq,6,1.5
466200,450900,0.0,c7avgpwq,6,1.5
517200,501000,0.1,c7avgpwq,6,1.5
567750,551100,0.1,c7avgpwq,6,1.5
616800,601200,0.1,c7avgpwq,6,1.5
667200,651300,0.3,c7avgpwq,6,1.5
717150,701400,0.2,c7avgpwq,6,1.5
766500,751500,0.2,c7avgpwq,6,1.5
817950,801600,0.1,c7avgpwq,6,1.5
867750,851700,0.3,c7avgpwq,6,1.5
917400,901800,0.1,c7avgpwq,6,1.5
966750,951900,0.1,c7avgpwq,6,1.5
64350,50100,0.1,3sc53b5e,7,1.0
116550,100200,0.1,3sc53b5e,7,1.0
166350,150300,0.3,3sc53b5e,7,1.0
216900,200400,0.0,3sc53b5e,7,1.0
265350,250500,0.2,3sc53b5e,7,1.0
315600,300600,0.2,3sc53b5e,7,1.0
365700,350700,0.1,3sc53b5e,7,1.0
416250,400800,0.4,3sc53b5e,7,1.0
466950,450900,0.2,3sc53b5e,7,1.0
515550,501000,0.2,3sc53b5e,7,1.0
566700,551100,0.3,3sc53b5e,7,1.0
616800,601200,0.3,3sc53b5e,7,1.0
667950,651300,0.6,3sc53b5e,7,1.0
716400,701400,0.8,3sc53b5e,7,1.0
766800,751500,0.3,3sc53b5e,7,1.0
817800,801600,0.1,3sc53b5e,7,1.0
867900,851700,0.3,3sc53b5e,7,1.0
918000,901800,0.0,3sc53b5e,7,1.0
967950,951900,0.4,3sc53b5e,7,1.0
65100,50100,0.0,f403ebaz,6,1.0
116400,100200,0.2,f403ebaz,6,1.0
165600,150300,0.4,f403ebaz,6,1.0
215850,200400,0.6,f403ebaz,6,1.0
265800,250500,0.1,f403ebaz,6,1.0
314850,300600,0.8,f403ebaz,6,1.0
366900,350700,0.1,f403ebaz,6,1.0
417000,400800,0.4,f403ebaz,6,1.0
466650,450900,0.2,f403ebaz,6,1.0
515700,501000,0.4,f403ebaz,6,1.0
566850,551100,0.0,f403ebaz,6,1.0
615000,601200,0.5,f403ebaz,6,1.0
666300,651300,0.1,f403ebaz,6,1.0
716850,701400,0.0,f403ebaz,6,1.0
765300,751500,0.1,f403ebaz,6,1.0
816300,801600,0.4,f403ebaz,6,1.0
866250,851700,0.1,f403ebaz,6,1.0
916050,901800,0.6,f403ebaz,6,1.0
966450,951900,0.2,f403ebaz,6,1.0
65250,50100,0.0,9x7u1w2p,5,1.0
116250,100200,0.0,9x7u1w2p,5,1.0
165900,150300,0.0,9x7u1w2p,5,1.0
215700,200400,0.0,9x7u1w2p,5,1.0
266100,250500,0.0,9x7u1w2p,5,1.0
315900,300600,0.2,9x7u1w2p,5,1.0
367200,350700,0.1,9x7u1w2p,5,1.0
417450,400800,0.1,9x7u1w2p,5,1.0
467400,450900,0.3,9x7u1w2p,5,1.0
516900,501000,0.2,9x7u1w2p,5,1.0
565800,551100,0.3,9x7u1w2p,5,1.0
616500,601200,0.5,9x7u1w2p,5,1.0
666600,651300,0.2,9x7u1w2p,5,1.0
717450,701400,0.3,9x7u1w2p,5,1.0
765900,751500,0.2,9x7u1w2p,5,1.0
816300,801600,0.2,9x7u1w2p,5,1.0
866400,851700,0.1,9x7u1w2p,5,1.0
917250,901800,0.3,9x7u1w2p,5,1.0
967050,951900,0.1,9x7u1w2p,5,1.0
64950,50100,0.0,74oafhj5,5,0.75
116100,100200,0.0,74oafhj5,5,0.75
165450,150300,0.2,74oafhj5,5,0.75
216000,200400,0.0,74oafhj5,5,0.75
266400,250500,0.3,74oafhj5,5,0.75
317100,300600,0.0,74oafhj5,5,0.75
366750,350700,0.1,74oafhj5,5,0.75
415350,400800,0.0,74oafhj5,5,0.75
466350,450900,0.6,74oafhj5,5,0.75
515400,501000,0.4,74oafhj5,5,0.75
567750,551100,0.3,74oafhj5,5,0.75
616800,601200,0.4,74oafhj5,5,0.75
667350,651300,0.2,74oafhj5,5,0.75
715950,701400,0.2,74oafhj5,5,0.75
768000,751500,0.3,74oafhj5,5,0.75
817350,801600,0.3,74oafhj5,5,0.75
866100,851700,0.0,74oafhj5,5,0.75
918000,901800,0.1,74oafhj5,5,0.75
968400,951900,0.1,74oafhj5,5,0.75
64650,50100,0.3,se6k2hvf,6,0.75
115200,100200,0.1,se6k2hvf,6,0.75
166950,150300,0.4,se6k2hvf,6,0.75
217050,200400,0.4,se6k2hvf,6,0.75
266400,250500,0.2,se6k2hvf,6,0.75
317100,300600,0.6,se6k2hvf,6,0.75
366000,350700,0.2,se6k2hvf,6,0.75
416700,400800,0.6,se6k2hvf,6,0.75
464850,450900,0.3,se6k2hvf,6,0.75
517350,501000,0.6,se6k2hvf,6,0.75
567000,551100,0.2,se6k2hvf,6,0.75
617850,601200,0.4,se6k2hvf,6,0.75
667200,651300,0.8,se6k2hvf,6,0.75
717600,701400,0.4,se6k2hvf,6,0.75
766350,751500,0.3,se6k2hvf,6,0.75
817500,801600,0.4,se6k2hvf,6,0.75
867450,851700,0.4,se6k2hvf,6,0.75
917850,901800,0.2,se6k2hvf,6,0.75
968250,951900,0.3,se6k2hvf,6,0.75
66000,50100,0.0,vxnup1te,7,0.75
116700,100200,0.0,vxnup1te,7,0.75
166050,150300,0.0,vxnup1te,7,0.75
216450,200400,0.0,vxnup1te,7,0.75
266400,250500,0.0,vxnup1te,7,0.75
316350,300600,0.0,vxnup1te,7,0.75
365400,350700,0.1,vxnup1te,7,0.75
415950,400800,0.0,vxnup1te,7,0.75
466800,450900,0.0,vxnup1te,7,0.75
515400,501000,0.1,vxnup1te,7,0.75
566400,551100,0.2,vxnup1te,7,0.75
616200,601200,0.1,vxnup1te,7,0.75
667950,651300,0.1,vxnup1te,7,0.75
717450,701400,0.2,vxnup1te,7,0.75
768000,751500,0.2,vxnup1te,7,0.75
816600,801600,0.0,vxnup1te,7,0.75
866400,851700,0.2,vxnup1te,7,0.75
916800,901800,0.2,vxnup1te,7,0.75
967950,951900,0.3,vxnup1te,7,0.75
65100,50100,0.0,oyhxyevi,7,0.5
114300,100200,0.0,oyhxyevi,7,0.5
166200,150300,0.0,oyhxyevi,7,0.5
216450,200400,0.0,oyhxyevi,7,0.5
266400,250500,0.0,oyhxyevi,7,0.5
315000,300600,0.1,oyhxyevi,7,0.5
367200,350700,0.0,oyhxyevi,7,0.5
417150,400800,0.0,oyhxyevi,7,0.5
467100,450900,0.0,oyhxyevi,7,0.5
516450,501000,0.0,oyhxyevi,7,0.5
566850,551100,0.1,oyhxyevi,7,0.5
615900,601200,0.2,oyhxyevi,7,0.5
666000,651300,0.0,oyhxyevi,7,0.5
717900,701400,0.1,oyhxyevi,7,0.5
766200,751500,0.3,oyhxyevi,7,0.5
816450,801600,0.1,oyhxyevi,7,0.5
866400,851700,0.1,oyhxyevi,7,0.5
915900,901800,0.0,oyhxyevi,7,0.5
967050,951900,0.1,oyhxyevi,7,0.5
64650,50100,0.2,zmjpp67l,5,0.5
114150,100200,0.2,zmjpp67l,5,0.5
165150,150300,0.0,zmjpp67l,5,0.5
215550,200400,0.0,zmjpp67l,5,0.5
267150,250500,0.0,zmjpp67l,5,0.5
316800,300600,0.4,zmjpp67l,5,0.5
366300,350700,0.1,zmjpp67l,5,0.5
415650,400800,0.2,zmjpp67l,5,0.5
465600,450900,0.3,zmjpp67l,5,0.5
517050,501000,0.3,zmjpp67l,5,0.5
565800,551100,0.2,zmjpp67l,5,0.5
617700,601200,0.4,zmjpp67l,5,0.5
667200,651300,0.2,zmjpp67l,5,0.5
716250,701400,0.1,zmjpp67l,5,0.5
767100,751500,0.1,zmjpp67l,5,0.5
817050,801600,0.0,zmjpp67l,5,0.5
867000,851700,0.0,zmjpp67l,5,0.5
916800,901800,0.2,zmjpp67l,5,0.5
967200,951900,0.1,zmjpp67l,5,0.5
66000,50100,0.0,52wy3hgf,6,0.5
116100,100200,0.0,52wy3hgf,6,0.5
165000,150300,0.3,52wy3hgf,6,0.5
215850,200400,0.2,52wy3hgf,6,0.5
265650,250500,0.2,52wy3hgf,6,0.5
316800,300600,0.3,52wy3hgf,6,0.5
367350,350700,0.2,52wy3hgf,6,0.5
417000,400800,0.2,52wy3hgf,6,0.5
466800,450900,0.2,52wy3hgf,6,0.5
515550,501000,0.5,52wy3hgf,6,0.5
566250,551100,0.2,52wy3hgf,6,0.5
615450,601200,0.0,52wy3hgf,6,0.5
666150,651300,0.5,52wy3hgf,6,0.5
717000,701400,0.4,52wy3hgf,6,0.5
767850,751500,0.6,52wy3hgf,6,0.5
817500,801600,0.5,52wy3hgf,6,0.5
868200,851700,0.6,52wy3hgf,6,0.5
918000,901800,0.2,52wy3hgf,6,0.5
968100,951900,0.2,52wy3hgf,6,0.5
