cell,task_idx,seed,run_id,env_steps,success_rate
sac_pp,9,3,dx3s03i0,5410800,0.0
sac_pp,9,3,dx3s03i0,5460900,0.0
sac_pp,9,3,dx3s03i0,5511000,0.0
sac_pp,9,3,dx3s03i0,5561100,0.0
sac_pp,9,3,dx3s03i0,5611200,0.0
sac_pp,9,3,dx3s03i0,5661300,0.0
sac_pp,9,3,dx3s03i0,5711400,0.0
sac_pp,9,3,dx3s03i0,5761500,0.0
sac_pp,9,3,dx3s03i0,5811600,0.0
sac_pp,9,3,dx3s03i0,5861700,0.0
sac_pp,9,3,dx3s03i0,5911800,0.0
sac_pp,9,3,dx3s03i0,5961900,0.0
sac_pp,9,3,dx3s03i0,6012000,0.0
sac_pp,9,3,dx3s03i0,6062100,0.0
sac_pp,9,3,dx3s03i0,6112200,0.0
sac_pp,9,3,dx3s03i0,6162300,0.0
sac_pp,9,3,dx3s03i0,6212400,0.0
sac_pp,9,3,dx3s03i0,6262500,0.0
sac_pp,9,3,dx3s03i0,6312600,0.0
sac_pp,9,3,dx3s03i0,6362700,0.0
sac_pp,9,3,dx3s03i0,6412800,0.0
sac_pp,9,3,dx3s03i0,6462900,0.0
sac_pp,9,3,dx3s03i0,6513000,0.0
sac_pp,9,3,dx3s03i0,6563100,0.0
sac_pp,9,3,dx3s03i0,6613200,0.0
sac_pp,9,3,dx3s03i0,6663300,0.0
sac_pp,9,3,dx3s03i0,6713400,0.0
sac_pp,9,3,dx3s03i0,6763500,0.0
sac_pp,9,3,dx3s03i0,6813600,0.0
sac_pp,9,3,dx3s03i0,6863700,0.0
sac_pp,9,3,dx3s03i0,6913800,0.0
sac_pp,9,3,dx3s03i0,6963900,0.0
sac_pp,9,3,dx3s03i0,7014000,0.0
sac_pp,9,3,dx3s03i0,7064100,0.0
sac_pp,9,3,dx3s03i0,7114200,0.0
sac_pp,9,3,dx3s03i0,7164300,0.0
sac_pp,9,3,dx3s03i0,7214400,0.0
sac_pp,9,3,dx3s03i0,7264500,0.0
sac_pp,9,3,dx3s03i0,7314600,0.0
sac_pp,9,3,dx3s03i0,7364700,0.0
sac_pp,9,3,dx3s03i0,7414800,0.0
sac_pp,9,3,dx3s03i0,7464900,0.0
sac_pp,9,3,dx3s03i0,7515000,0.0
sac_pp,9,3,dx3s03i0,7565100,0.0
sac_pp,9,3,dx3s03i0,7615200,0.0
sac_pp,9,3,dx3s03i0,7665300,0.0
sac_pp,9,3,dx3s03i0,7715400,0.0
sac_pp,9,3,dx3s03i0,7765500,0.0
sac_pp,9,3,dx3s03i0,7815600,0.0
sac_pp,9,3,dx3s03i0,7865700,0.0
sac_pp,9,3,dx3s03i0,7915800,0.0
sac_pp,9,3,dx3s03i0,7965900,0.0
sac_pp,9,2,tnfywgjy,50100,0.0
sac_pp,9,2,tnfywgjy,100200,0.0
sac_pp,9,2,tnfywgjy,150300,0.0
sac_pp,9,2,tnfywgjy,200400,0.0
sac_pp,9,2,tnfywgjy,250500,0.0
sac_pp,9,2,tnfywgjy,300600,0.1
sac_pp,9,2,tnfywgjy,350700,0.0
sac_pp,9,2,tnfywgjy,400800,0.1
