group,actor_mode,critic_mode,seed,task_idx,env,run_id,n_evals,best_success,end_success,mean_success_during_training,auc_success,stability,cell
for_real,cka,cka,97,1,sawyer_push_wall,zmdvwkrr,159.0,1.0,0.7,0.630817610062893,0.6325949367088608,0.7,actor=cka-critic=cka
for_real,cka,cka,97,2,sawyer_faucet_close,wd9wv9sg,159.0,0.8,0.4,0.39937106918238996,0.4,0.5,actor=cka-critic=cka
for_real,cka,cka,97,3,sawyer_push_back,w8w7ljtu,159.0,1.0,1.0,0.6893081761006291,0.6905063291139241,1.0,actor=cka-critic=cka
for_real,cka,cka,97,4,sawyer_stick_pull,lv165sdg,159.0,1.0,0.8,0.3955974842767295,0.39556962025316456,0.8,actor=cka-critic=cka
for_real,cka,cka,97,5,sawyer_handle_press_side,fp0t63dn,159.0,0.2,0.1,0.011949685534591194,0.01170886075949367,0.5,actor=cka-critic=cka
for_real,cka,cka,97,6,sawyer_push,j49r29fn,159.0,0.7,0.0,0.16855345911949687,0.16962025316455695,0.0,actor=cka-critic=cka
for_real,cka,cka,97,7,sawyer_shelf_place,89a2x63i,159.0,1.0,0.6,0.14276729559748427,0.14177215189873418,0.6,actor=cka-critic=cka
for_real,cka,cka,98,0,sawyer_hammer,01n9tnlo,159.0,1.0,0.9,0.7471698113207548,0.7471518987341772,0.9,actor=cka-critic=cka
for_real,cka,cka,98,1,sawyer_push_wall,bypuj3zn,159.0,0.9,0.2,0.3849056603773585,0.3867088607594937,0.22222222222222224,actor=cka-critic=cka
for_real,cka,cka,98,2,sawyer_faucet_close,oot56g63,159.0,0.9,0.5,0.3792452830188679,0.3778481012658228,0.5555555555555556,actor=cka-critic=cka
for_real,cka,cka,98,3,sawyer_push_back,kahippwq,159.0,1.0,1.0,0.6503144654088051,0.6512658227848102,1.0,actor=cka-critic=cka
for_real,cka,cka,98,4,sawyer_stick_pull,xapxkrte,159.0,1.0,0.5,0.5408805031446541,0.5427215189873418,0.5,actor=cka-critic=cka
for_real,cka,cka,98,5,sawyer_handle_press_side,2pdfmv3y,159.0,0.2,0.0,0.009433962264150943,0.00949367088607595,0.0,actor=cka-critic=cka
for_real,cka,cka,98,6,sawyer_push,lmuz9ea9,159.0,1.0,1.0,0.560377358490566,0.5607594936708861,1.0,actor=cka-critic=cka
for_real,cka,cka,98,7,sawyer_shelf_place,flhjypit,159.0,1.0,0.9,0.2861635220125786,0.28512658227848103,0.9,actor=cka-critic=cka
for_real,cka,cka,99,0,sawyer_hammer,a7zqzepk,159.0,1.0,1.0,0.8566037735849058,0.8588607594936709,1.0,actor=cka-critic=cka
