cell,group,actor_mode,critic_mode,task_idx,env,best_success_mean,best_success_std,best_success_sem,best_success_n,end_success_mean,end_success_std,end_success_sem,end_success_n,mean_success_during_training_mean,mean_success_during_training_std,mean_success_during_training_sem,mean_success_during_training_n,auc_success_mean,auc_success_std,auc_success_sem,auc_success_n,stability_mean,stability_std,stability_sem,stability_n,seeds
actor=cka-critic=cka,for_real,cka,cka,0,sawyer_hammer,1.0,0.0,0.0,5,0.9199999999999999,0.130384048104053,0.05830951894845301,5,0.8196226415094341,0.06368588365118993,0.028481193010240637,5,0.82,0.06382582690493983,0.028543777535916092,5,0.9199999999999999,0.130384048104053,0.05830951894845301,5,"97,98,99,100,101"
actor=cka-critic=cka,real1,cka,cka,0,sawyer_hammer,1.0,0.0,0.0,5,0.8799999999999999,0.130384048104053,0.05830951894845301,5,0.8720754716981134,0.03064255247060348,0.013703766065674701,5,0.8722784810126581,0.030837466936968237,0.01379093446499264,5,0.8799999999999999,0.130384048104053,0.05830951894845301,5,"97,98,99,100,101"
actor=cka-critic=cka,real2,cka,cka,0,sawyer_hammer,1.0,0.0,0.0,5,0.8800000000000001,0.1095445115010332,0.04898979485566355,5,0.8148427672955976,0.05898150629415682,0.02637733149781327,5,0.8149367088607594,0.059286013166296676,0.026513511110957382,5,0.8800000000000001,0.1095445115010332,0.04898979485566355,5,"97,98,99,100,101"
actor=cka-critic=cka,for_real,cka,cka,1,sawyer_push_wall,0.9800000000000001,0.04472135954999578,0.019999999999999993,5,0.5399999999999999,0.3209361307176242,0.14352700094407322,5,0.521132075471698,0.11059941110940742,0.04946156030241608,5,0.5227215189873419,0.1110000552146305,0.04964073379322875,5,0.5444444444444444,0.3151523245262852,0.14094040418156958,5,"97,98,99,100,101"
actor=cka-critic=cka,real1,cka,cka,1,sawyer_push_wall,1.0,0.0,0.0,4,0.625,0.38622100754188227,0.19311050377094113,4,0.41619496855345917,0.15760657855441365,0.07880328927720683,4,0.41685126582278476,0.15757912901757895,0.07878956450878948,4,0.625,0.38622100754188227,0.19311050377094113,4,"97,98,99,101"
actor=cka-critic=cka,real2,cka,cka,1,sawyer_push_wall,1.0,0.0,0.0,4,0.725,0.09574271077563384,0.04787135538781692,4,0.43474842767295596,0.07366348006147154,0.03683174003073577,4,0.43520569620253163,0.07423494633875657,0.03711747316937829,4,0.725,0.09574271077563384,0.04787135538781692,4,"97,98,99,101"
actor=cka-critic=cka,for_real,cka,cka,2,sawyer_faucet_close,0.8400000000000001,0.0547722557505166,0.024494897427831775,5,0.33999999999999997,0.11401754250991379,0.05099019513592784,5,0.3562264150943396,0.03637917651624129,0.0162692623311559,5,0.35607594936708864,0.035955968595154916,0.016079997995122802,5,0.4027777777777778,0.12422599874998833,0.05555555555555556,5,"97,98,99,100,101"
actor=cka-critic=cka,real1,cka,cka,2,sawyer_faucet_close,0.9,0.08164965809277258,0.04082482904638629,4,0.55,0.1732050807568877,0.08660254037844385,4,0.39040880503144654,0.03547145650184601,0.017735728250923004,4,0.38947784810126584,0.03403860684372635,0.017019303421863176,4,0.6020833333333333,0.15220219860192316,0.07610109930096158,4,"97,98,99,101"
actor=cka-critic=cka,real2,cka,cka,2,sawyer_faucet_close,0.8,0.08164965809277262,0.04082482904638631,4,0.42500000000000004,0.04999999999999999,0.024999999999999994,4,0.32075471698113206,0.058340466995588446,0.029170233497794223,4,0.32025316455696207,0.058352119269244135,0.029176059634622067,4,0.535218253968254,0.07927201885306737,0.03963600942653368,4,"97,98,99,101"
actor=cka-critic=cka,for_real,cka,cka,3,sawyer_push_back,1.0,0.0,0.0,5,0.9800000000000001,0.04472135954999579,0.019999999999999997,5,0.6542138364779875,0.03400998278211626,0.015209726682881876,5,0.655253164556962,0.034103589237944314,0.015251588762554747,5,0.9800000000000001,0.04472135954999579,0.019999999999999997,5,"97,98,99,100,101"
actor=cka-critic=cka,real1,cka,cka,3,sawyer_push_back,1.0,0.0,0.0,4,0.875,0.09574271077563379,0.047871355387816894,4,0.7784591194968553,0.036796036307061,0.0183980181535305,4,0.7806170886075948,0.03678822988886572,0.01839411494443286,4,0.875,0.09574271077563379,0.047871355387816894,4,"97,98,99,101"
actor=cka-critic=cka,real2,cka,cka,3,sawyer_push_back,1.0,0.0,0.0,4,0.6499999999999999,0.09999999999999998,0.04999999999999999,4,0.693553459119497,0.0768795574787899,0.03843977873939495,4,0.6958860759493671,0.07752066571697518,0.03876033285848759,4,0.6499999999999999,0.09999999999999998,0.04999999999999999,4,"97,98,99,101"
actor=cka-critic=cka,for_real,cka,cka,4,sawyer_stick_pull,1.0,0.0,0.0,5,0.58,0.2588435821108957,0.11575836902790225,5,0.46603773584905656,0.0597616668549649,0.026726229907279516,5,0.4671518987341772,0.06065532011056498,0.02712588379284667,5,0.58,0.2588435821108957,0.11575836902790225,5,"97,98,99,100,101"
actor=cka-critic=cka,real1,cka,cka,4,sawyer_stick_pull,0.8999999999999999,0.14142135623730953,0.07071067811865477,4,0.575,0.04999999999999999,0.024999999999999994,4,0.41022012578616357,0.16671323664073998,0.08335661832036999,4,0.41099683544303794,0.1678972439451636,0.0839486219725818,4,0.655952380952381,0.15060347238922356,0.07530173619461178,4,"97,98,99,101"
actor=cka-critic=cka,real2,cka,cka,4,sawyer_stick_pull,0.95,0.09999999999999998,0.04999999999999999,4,0.675,0.3304037933599835,0.16520189667999174,4,0.45188679245283014,0.1278741791914548,0.0639370895957274,4,0.45261075949367086,0.1277418865198484,0.0638709432599242,4,0.6875,0.306526235962492,0.153263117981246,4,"97,98,99,101"
actor=cka-critic=cka,for_real,cka,cka,5,sawyer_handle_press_side,0.2333333333333333,0.05773502691896256,0.033333333333333326,3,0.03333333333333333,0.05773502691896259,0.03333333333333334,3,0.011740041928721174,0.002208732442946067,0.0012752122705027716,3,0.01170886075949367,0.002215189873417721,0.0012789404697238543,3,0.16666666666666666,0.2886751345948129,0.16666666666666669,3,"97,98,99"
actor=cka-critic=cka,real1,cka,cka,5,sawyer_handle_press_side,0.175,0.05,0.025,4,0.0,0.0,0.0,4,0.01069182389937107,0.003288131476175707,0.0016440657380878535,4,0.010759493670886076,0.0033089424348856796,0.0016544712174428398,4,0.0,0.0,0.0,4,"97,98,99,101"
actor=cka-critic=cka,real2,cka,cka,5,sawyer_handle_press_side,0.1,0.0,0.0,4,0.0,0.0,0.0,4,0.006918238993710692,0.0035205148058169104,0.0017602574029084552,4,0.006962025316455696,0.003542796545094233,0.0017713982725471166,4,0.0,0.0,0.0,4,"97,98,99,101"
actor=cka-critic=cka,for_real,cka,cka,6,sawyer_push,0.9,0.17320508075688776,0.10000000000000002,3,0.5,0.5,0.2886751345948129,3,0.3756813417190776,0.19687275962657855,0.11366454076650961,3,0.3764767932489452,0.1965442953733239,0.11347490184147388,3,0.5,0.5,0.2886751345948129,3,"97,98,99"
actor=cka-critic=cka,real1,cka,cka,6,sawyer_push,0.95,0.09999999999999998,0.04999999999999999,4,0.15000000000000002,0.05773502691896258,0.02886751345948129,4,0.2765723270440251,0.07656161811305545,0.038280809056527726,4,0.27776898734177213,0.07676660133127645,0.03838330066563823,4,0.15625,0.051538820320220766,0.025769410160110383,4,"97,98,99,101"
actor=cka-critic=cka,real2,cka,cka,6,sawyer_push,1.0,0.0,0.0,4,0.47500000000000003,0.2872281323269014,0.1436140661634507,4,0.46871069182389946,0.07180721956948533,0.03590360978474266,4,0.4700949367088607,0.07135754340802683,0.035678771704013415,4,0.47500000000000003,0.2872281323269014,0.1436140661634507,4,"97,98,99,101"
actor=cka-critic=cka,for_real,cka,cka,7,sawyer_shelf_place,0.6666666666666666,0.5773502691896258,0.33333333333333337,3,0.5,0.45825756949558405,0.2645751311064591,3,0.1429769392033543,0.14308187619503737,0.08260835973736154,3,0.14229957805907176,0.1425640228606706,0.08230937697536414,3,0.5,0.45825756949558405,0.2645751311064591,3,"97,98,99"
actor=cka-critic=cka,real1,cka,cka,7,sawyer_shelf_place,0.75,0.4358898943540674,0.2179449471770337,4,0.3,0.2581988897471611,0.12909944487358055,4,0.30644654088050316,0.22066144768255577,0.11033072384127789,4,0.3074367088607595,0.22146314847764725,0.11073157423882363,4,0.3111111111111111,0.26480833972917744,0.13240416986458872,4,"97,98,99,101"
