figure,series,env_steps,n_hover,press_minus_pi,press_rank,grad_cos,std_a,std_s,std_a_over_std_s,panel,feature,accuracy_drop,baseline_accuracy,n_pairs,delta_mm,success,her_succ,her_prog,her_succ_or_prog
inject,push,701400,,,,,,,,eval,,,,,,1.0,,,
inject,push,751500,,,,,,,,eval,,,,,,1.0,,,
inject,push,801600,,,,,,,,eval,,,,,,0.8,,,
inject,push,851700,,,,,,,,eval,,,,,,1.0,,,
inject,push,901800,,,,,,,,eval,,,,,,1.0,,,
inject,push,951900,,,,,,,,eval,,,,,,1.0,,,
inject,push,990000,,,,,,,,eval,,,,,,0.9,,,
inject,handle,1500,,,,,,,,her,,,,,,,0.0,0.0,0.0
inject,handle,3000,,,,,,,,her,,,,,,,0.0,0.0,0.0
inject,handle,4500,,,,,,,,her,,,,,,,0.0,0.0,0.0
inject,handle,6000,,,,,,,,her,,,,,,,0.0,0.0,0.0
inject,handle,7500,,,,,,,,her,,,,,,,0.0,0.0,0.0
inject,handle,9000,,,,,,,,her,,,,,,,0.0,0.0,0.0
inject,handle,10500,,,,,,,,her,,,,,,,0.0,0.0,0.0
inject,handle,12000,,,,,,,,her,,,,,,,0.0,0.0,0.0
inject,handle,13500,,,,,,,,her,,,,,,,0.0,0.0,0.0
inject,handle,15000,,,,,,,,her,,,,,,,0.01,0.0,0.01
inject,handle,16500,,,,,,,,her,,,,,,,0.01,0.0,0.01
inject,handle,18000,,,,,,,,her,,,,,,,0.01,0.0,0.01
inject,handle,19500,,,,,,,,her,,,,,,,0.01,0.0,0.01
inject,handle,21000,,,,,,,,her,,,,,,,0.01,0.0,0.01
inject,handle,22500,,,,,,,,her,,,,,,,0.01,0.0,0.01
inject,handle,24000,,,,,,,,her,,,,,,,0.02,0.0,0.02
inject,handle,25500,,,,,,,,her,,,,,,,0.02,0.0,0.02
inject,handle,27000,,,,,,,,her,,,,,,,0.02,0.0,0.02
inject,handle,28500,,,,,,,,her,,,,,,,0.02,0.0,0.02
