task_id,env,n,best_mean,best_sem,end_mean,end_sem,mean_over_training
0,sawyer_hammer,3,1.0,0.0,0.8666666666666667,0.13333333333333336,0.8662473794549266
1,sawyer_push_wall,3,1.0,0.0,0.7000000000000001,0.0577350269189626,0.6825995807127884
2,sawyer_faucet_close,3,0.7333333333333334,0.0881917103688197,0.16666666666666666,0.03333333333333334,0.31530398322851155
3,sawyer_push_back,3,1.0,0.0,0.9333333333333332,0.03333333333333333,0.6079664570230608
4,sawyer_stick_pull,3,1.0,0.0,0.43333333333333335,0.13333333333333333,0.4855345911949686
5,sawyer_handle_press_side,3,0.16666666666666666,0.03333333333333334,0.0,0.0,0.007547169811320756
6,sawyer_push,3,1.0,0.0,0.2333333333333333,0.18559214542766742,0.3442348008385745
7,sawyer_shelf_place,3,0.9333333333333332,0.03333333333333333,0.6,0.05773502691896257,0.34528301886792456
8,sawyer_window_close,3,0.43333333333333335,0.06666666666666668,0.0,0.0,0.04507337526205451
9,sawyer_peg_unplug_side,3,0.6999999999999998,0.0577350269189626,0.3333333333333333,0.12018504251546631,0.2377358490566038
