task_id,env,seed,n_evals,best_during_training,end_of_training,mean_over_training
0,sawyer_hammer,5,159,1.0,1.0,0.7974842767295597
0,sawyer_hammer,6,159,1.0,0.9,0.9465408805031447
0,sawyer_hammer,7,159,1.0,0.8,0.9408805031446542
1,sawyer_push_wall,5,159,1.0,0.0,0.6176100628930817
1,sawyer_push_wall,6,159,1.0,1.0,0.7748427672955976
1,sawyer_push_wall,7,159,1.0,0.9,0.8534591194968553
2,sawyer_faucet_close,5,159,0.9,0.5,0.35911949685534594
2,sawyer_faucet_close,6,159,0.8,0.4,0.34716981132075475
2,sawyer_faucet_close,7,159,0.9,0.1,0.3761006289308176
3,sawyer_push_back,5,159,1.0,1.0,0.8773584905660378
3,sawyer_push_back,6,159,1.0,0.3,0.8169811320754717
3,sawyer_push_back,7,159,1.0,1.0,0.6836477987421384
4,sawyer_stick_pull,5,159,1.0,0.7,0.49245283018867925
4,sawyer_stick_pull,6,159,1.0,0.3,0.5163522012578617
4,sawyer_stick_pull,7,159,1.0,0.3,0.6012578616352201
5,sawyer_handle_press_side,5,159,0.3,0.0,0.037106918238993716
5,sawyer_handle_press_side,6,159,0.4,0.1,0.07547169811320754
5,sawyer_handle_press_side,7,159,0.5,0.1,0.10251572327044023
6,sawyer_push,5,159,1.0,0.5,0.5962264150943395
6,sawyer_push,6,159,1.0,0.1,0.40817610062893084
6,sawyer_push,7,159,1.0,0.2,0.6050314465408806
7,sawyer_shelf_place,5,159,0.9,0.2,0.39182389937106926
7,sawyer_shelf_place,6,159,1.0,0.5,0.36415094339622633
7,sawyer_shelf_place,7,159,1.0,0.9,0.4125786163522012
