task_id,env,seed,n_history_rows,learner/cka/actor_mixture_norm__start,learner/cka/actor_mixture_norm__end,learner/cka/actor_mixture_norm__mid,learner/cka/actor_mixture_norm__min,learner/cka/actor_mixture_norm__max,learner/cka/critic_mixture_norm__start,learner/cka/critic_mixture_norm__end,learner/cka/critic_mixture_norm__mid,learner/cka/critic_mixture_norm__min,learner/cka/critic_mixture_norm__max,learner/actor_alpha_scale__start,learner/actor_alpha_scale__end,learner/actor_alpha_scale__mid,learner/actor_alpha_scale__min,learner/actor_alpha_scale__max,learner/critic_alpha_scale__start,learner/critic_alpha_scale__end,learner/critic_alpha_scale__mid,learner/critic_alpha_scale__min,learner/critic_alpha_scale__max,learner/actor_alpha_max__start,learner/actor_alpha_max__end,learner/actor_alpha_max__mid,learner/actor_alpha_max__min,learner/actor_alpha_max__max,learner/critic_alpha_max__start,learner/critic_alpha_max__end,learner/critic_alpha_max__mid,learner/critic_alpha_max__min,learner/critic_alpha_max__max,learner/actor_alpha_entropy__start,learner/actor_alpha_entropy__end,learner/actor_alpha_entropy__mid,learner/actor_alpha_entropy__min,learner/actor_alpha_entropy__max,learner/critic_alpha_entropy__start,learner/critic_alpha_entropy__end,learner/critic_alpha_entropy__mid,learner/critic_alpha_entropy__min,learner/critic_alpha_entropy__max
2,sawyer_faucet_close,5,795,0.25473666191101074,0.01337132602930069,0.01754932850599289,0.01337132602930069,0.25473666191101074,14.475560188293457,0.820082426071167,1.1083046197891235,0.820082426071167,14.475560188293457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,sawyer_faucet_close,6,795,0.5923379063606262,0.02576565183699131,0.034450601786375046,0.02576565183699131,0.5923379063606262,14.255157470703125,0.7939335107803345,1.0663175582885742,0.7939335107803345,14.255157470703125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,sawyer_faucet_close,7,795,0.3341187834739685,0.01674697920680046,0.022311069071292877,0.01674697920680046,0.3341187834739685,16.977163314819336,0.8297861814498901,1.1085455417633057,0.8297861814498901,16.977163314819336,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,sawyer_push_back,5,795,0.18660876154899597,0.010062413290143013,0.013925467617809772,0.010062413290143013,0.18660876154899597,14.62673282623291,0.6506974697113037,0.894140362739563,0.6506974697113037,14.62673282623291,0.9847931265830994,-1.135391357820481e-05,2.3829304751643576e-08,-0.08009466528892517,0.9847931265830994,1.0156030654907227,0.7421777844429016,0.8662620782852173,0.7395666837692261,1.0595128536224365,0.5073684453964233,0.5,0.5,0.5,0.6117593050003052,0.5139508843421936,0.6242335438728333,0.616489589214325,0.5139508843421936,0.6242335438728333,0.6930381059646606,0.6931471824645996,0.6931471824645996,0.6679544448852539,0.6931471824645996,0.6927578449249268,0.6619527339935303,0.6657562851905823,0.6619527339935303,0.6927578449249268
3,sawyer_push_back,6,795,0.3321920335292816,0.02152232453227043,0.026782624423503876,0.02142883650958538,0.3321920335292816,13.204015731811523,0.665630042552948,0.9754547476768494,0.665630042552948,13.204015731811523,1.078495740890503,1.1853365898132324,1.1498057842254639,0.9575619697570801,1.3993065357208252,0.9908555746078491,0.6289054751396179,0.6921916007995605,0.6282404065132141,0.9908555746078491,0.5365490913391113,0.859042227268219,0.8152966499328613,0.5365490913391113,0.9020524024963379,0.5035884380340576,0.6161770820617676,0.5979610085487366,0.5002814531326294,0.6181902289390564,0.6904723048210144,0.40669822692871094,0.47844842076301575,0.3205498456954956,0.6904723048210144,0.6931214332580566,0.6659045219421387,0.6738296747207642,0.6649430990219116,0.6931470632553101
3,sawyer_push_back,7,795,0.20337578654289246,0.013290723785758018,0.016841797158122063,0.013262676075100899,0.20337578654289246,15.062694549560547,0.7048135995864868,0.9355717301368713,0.7048135995864868,15.062694549560547,1.1537107229232788,0.6242647767066956,0.6094021201133728,-0.01714130863547325,1.245718002319336,0.996492326259613,0.854759931564331,0.9218213558197021,0.854759931564331,0.9968207478523254,0.5730539560317993,0.6855517625808716,0.6775927543640137,0.5,0.7156928777694702,0.5058282613754272,0.6363740563392639,0.6269515752792358,0.5058282613754272,0.6393048763275146,0.6824345588684082,0.622612476348877,0.6286706924438477,0.5969752669334412,0.6931471824645996,0.6930792331695557,0.6554758548736572,0.6605581641197205,0.6538166403770447,0.6930792331695557
4,sawyer_stick_pull,5,795,0.2496388554573059,0.020790981128811836,0.024829193949699402,0.02019168995320797,0.2496388554573059,14.123987197875977,0.5178248286247253,0.692756712436676,0.5178248286247253,14.123987197875977,1.0498154163360596,0.8997040390968323,0.8613421320915222,0.6976069808006287,1.1031240224838257,1.0639288425445557,0.572871208190918,0.6622719764709473,0.5714297294616699,1.0952671766281128,0.3481406271457672,0.6050450801849365,0.5312908887863159,0.3481406271457672,0.6071867942810059,0.34776002168655396,0.42592623829841614,0.415229856967926,0.3464162349700928,0.42765453457832336,1.097365379333496,0.8805712461471558,0.9747588634490967,0.8767508268356323,1.097365379333496,1.0981131792068481,1.0775309801101685,1.0828293561935425,1.0761914253234863,1.0981131792068481
4,sawyer_stick_pull,6,795,0.39396291971206665,0.023855233564972878,0.03185158222913742,0.023855233564972878,0.39396291971206665,10.064373016357422,0.5200889110565186,0.7039260268211365,0.5200889110565186,10.064373016357422,1.1701183319091797,0.4902307391166687,1.3539239168167114,0.46488210558891296,1.4404525756835938,1.0234209299087524,0.5673489570617676,0.6741619110107422,0.5645787715911865,1.0234209299087524,0.3629504144191742,0.5009875297546387,0.5416262745857239,0.3629504144191742,0.5490691661834717,0.34285950660705566,0.4262893795967102,0.41833919286727905,0.33889061212539673,0.4278874397277832,1.0911837816238403,0.7490667104721069,0.7725170850753784,0.7030655145645142,1.0911837816238403,1.0983600616455078,1.076710820198059,1.0795234441757202,1.075280785560608,1.0985093116760254
4,sawyer_stick_pull,7,795,0.26440274715423584,0.01683131605386734,0.020597971975803375,0.01677953451871872,0.26440274715423584,11.984829902648926,0.5396137237548828,0.7312091588973999,0.5396137237548828,11.984829902648926,0.9328076839447021,0.5471450686454773,0.7257199883460999,0.3834834694862366,0.9328076839447021,1.0310053825378418,0.6010540723800659,0.614312469959259,0.5958211421966553,1.0310053825378418,0.3352862596511841,0.4478554427623749,0.4550360143184662,0.3352862596511841,0.4946160912513733,0.34029877185821533,0.4404447376728058,0.42066484689712524,0.3362365961074829,0.4408412575721741,1.0985971689224243,0.9953115582466125,1.0117944478988647,0.9615888595581055,1.0985971689224243,1.0984684228897095,1.0657844543457031,1.0769904851913452,1.0654163360595703,1.0985770225524902
5,sawyer_handle_press_side,5,795,0.27220940589904785,0.012002483010292053,0.02391842007637024,0.011948462575674057,0.27220940589904785,11.369502067565918,1.230147361755371,1.7855257987976074,1.230147361755371,11.369502067565918,1.115465521812439,0.456493079662323,1.1796334981918335,0.4084789454936981,1.5502312183380127,1.044168472290039,1.3928109407424927,1.2624835968017578,1.0437977313995361,1.3932325839996338,0.2692575454711914,0.3287780284881592,0.47722238302230835,0.2692575454711914,0.5952191352844238,0.26075708866119385,0.4174370765686035,0.3570493757724762,0.26075708866119385,0.41782474517822266,1.3841630220413208,1.3703161478042603,1.2249972820281982,1.0772123336791992,1.3841630220413208,1.3857505321502686,1.2774566411972046,1.3404797315597534,1.2774566411972046,1.3857505321502686
5,sawyer_handle_press_side,6,795,0.4140215814113617,0.010735994204878807,0.02074325829744339,0.01053557451814413,0.4140215814113617,9.863370895385742,1.2086220979690552,1.848031759262085,1.2070140838623047,9.863370895385742,0.9914851784706116,0.509057879447937,0.7452666163444519,0.3941422402858734,0.9914851784706116,1.0964632034301758,1.2668602466583252,1.1782522201538086,1.0960497856140137,1.2673934698104858,0.26070672273635864,0.4846583902835846,0.39905890822410583,0.2533383369445801,0.5373824834823608,0.26299190521240234,0.35304901003837585,0.3176465332508087,0.26299190521240234,0.3537397086620331,1.3857342004776,1.1056077480316162,1.187423586845398,0.9190709590911865,1.3861854076385498,1.3849120140075684,1.3351211547851562,1.3654865026474,1.3350733518600464,1.3849380016326904
5,sawyer_handle_press_side,7,795,0.2712264060974121,0.007962772622704506,0.014758278615772724,0.007893882691860199,0.2712264060974121,10.865477561950684,1.2747845649719238,1.858323097229004,1.2747845649719238,10.865477561950684,1.0688484907150269,0.4826385974884033,0.24938490986824036,0.17550477385520935,1.287635326385498,1.045338749885559,1.6017673015594482,1.480846643447876,1.045338749885559,1.6058584451675415,0.267520934343338,0.47148388624191284,0.3418707251548767,0.267520934343338,0.5165531039237976,0.2594316601753235,0.3908611238002777,0.33999374508857727,0.2594316601753235,0.39214327931404114,1.384322166442871,1.083390235900879,1.351768970489502,0.9936901330947876,1.384322166442871,1.3854007720947266,1.2708089351654053,1.3319752216339111,1.2700414657592773,1.3854007720947266
6,sawyer_push,5,795,0.2549465596675873,0.044439706951379776,0.04708632081747055,0.041190262883901596,0.2549465596675873,10.428637504577637,0.47079238295555115,0.6301915049552917,0.47079238295555115,10.428637504577637,1.2068266868591309,1.912512183189392,1.792614221572876,1.2068266868591309,1.983414888381958,1.1855939626693726,1.3289927244186401,1.3618357181549072,1.1855939626693726,1.3756625652313232,0.24480104446411133,0.9194687604904175,0.6771605014801025,0.24480104446411133,0.9402202367782593,0.23754234611988068,0.37247246503829956,0.36280277371406555,0.22825509309768677,0.3742595911026001,1.6019208431243896,0.2817748785018921,0.7229709625244141,0.22772899270057678,1.6019208431243896,1.6047886610031128,1.3982049226760864,1.4610798358917236,1.3972793817520142,1.6047886610031128
6,sawyer_push,6,795,0.30096542835235596,0.022750910371541977,0.029619265347719193,0.022032391279935837,0.30096542835235596,9.954426765441895,0.461234986782074,0.6255627870559692,0.461234986782074,9.954426765441895,1.1178779602050781,0.5273542404174805,0.5804575681686401,0.31934720277786255,1.2117745876312256,1.2130508422851562,1.405819296836853,1.3957051038742065,1.2130508422851562,1.4598544836044312,0.2266535460948944,0.29542696475982666,0.30737707018852234,0.2266535460948944,0.3492983281612396,0.24273250997066498,0.3864652216434479,0.3865554928779602,0.24273250997066498,0.39152997732162476,1.6062982082366943,1.5422141551971436,1.5572545528411865,1.4903916120529175,1.6062982082366943,1.6032872200012207,1.4279084205627441,1.4872667789459229,1.4265716075897217,1.6032872200012207
6,sawyer_push,7,795,0.2157038152217865,0.030918795615434647,0.027388334274291992,0.025908146053552628,0.2157038152217865,10.57502269744873,0.4835929274559021,0.6602863073348999,0.4834003448486328,10.57502269744873,1.105963110923767,1.3724877834320068,1.0748531818389893,0.94045090675354,1.3869383335113525,1.2133362293243408,1.4850654602050781,1.4424883127212524,1.2133362293243408,1.554465651512146,0.21880394220352173,0.6985130310058594,0.4330756664276123,0.21880394220352173,0.7097862958908081,0.24251770973205566,0.42074620723724365,0.4041283130645752,0.24251770973205566,0.42096343636512756,1.6060550212860107,0.8797010183334351,1.3845349550247192,0.8644840717315674,1.6060550212860107,1.6027781963348389,1.3714113235473633,1.4397627115249634,1.3714113235473633,1.6027781963348389
