task_id,env,n,best_mean,best_sem,end_mean,end_sem,mean_over_training
0,sawyer_hammer,3,1.0,0.0,0.9,0.05773502691896257,0.8949685534591195
1,sawyer_push_wall,3,1.0,0.0,0.6333333333333333,0.3179797338056486,0.7486373165618448
2,sawyer_faucet_close,3,0.8666666666666667,0.033333333333333326,0.3333333333333333,0.12018504251546631,0.36079664570230613
3,sawyer_push_back,3,1.0,0.0,0.7666666666666666,0.23333333333333336,0.7926624737945493
4,sawyer_stick_pull,3,1.0,0.0,0.43333333333333335,0.13333333333333333,0.5366876310272537
5,sawyer_handle_press_side,3,0.39999999999999997,0.05773502691896258,0.06666666666666667,0.03333333333333334,0.07169811320754717
6,sawyer_push,3,1.0,0.0,0.26666666666666666,0.12018504251546631,0.5364779874213836
7,sawyer_shelf_place,3,0.9666666666666667,0.033333333333333326,0.5333333333333333,0.2027587510099407,0.38951781970649896
