task_id,env,seed,actor_alpha_scale_end,critic_alpha_scale_end,best_success,end_success,mean_success
2,sawyer_faucet_close,7,1.0,1.0,0.7,0.2,0.3358490566037736
2,sawyer_faucet_close,5,1.0,1.0,0.6,0.1,0.2553459119496856
2,sawyer_faucet_close,6,1.0,1.0,0.9,0.2,0.3547169811320755
3,sawyer_push_back,7,0.5350420981645584,0.8661978816986085,1.0,0.9,0.7025157232704403
3,sawyer_push_back,6,1.16998610496521,0.6360835862159729,1.0,0.9,0.4578616352201258
3,sawyer_push_back,5,0.0015116667545103319,0.7495977199077606,1.0,1.0,0.6635220125786164
4,sawyer_stick_pull,7,0.5969083082675933,0.6033393180370331,1.0,0.3,0.41132075471698115
4,sawyer_stick_pull,6,0.5880790537595749,0.5775051164627075,1.0,0.7,0.5094339622641509
4,sawyer_stick_pull,5,0.8939602446556091,0.5833874452114105,1.0,0.3,0.5358490566037735
5,sawyer_handle_press_side,7,0.45408719062805175,1.5869140672683715,0.2,0.0,0.006289308176100629
5,sawyer_handle_press_side,6,0.5492437279224396,1.2608354663848877,0.1,0.0,0.0031446540880503146
5,sawyer_handle_press_side,5,0.5342555290460587,1.3872263145446777,0.2,0.0,0.013207547169811321
6,sawyer_push,7,1.3364400911331176,1.4919859623908998,1.0,0.6,0.39371069182389945
6,sawyer_push,5,1.9373709845542908,1.3408521246910095,1.0,0.1,0.36352201257861644
6,sawyer_push,6,0.4429812651872635,1.4053699088096618,1.0,0.0,0.2754716981132076
7,sawyer_shelf_place,7,0.8952862787246704,1.0562977552413941,0.9,0.7,0.12830188679245283
7,sawyer_shelf_place,5,0.7250827717781066,1.2096390962600707,0.9,0.6,0.3534591194968554
7,sawyer_shelf_place,6,1.5805859398841857,1.4212751746177674,1.0,0.5,0.5540880503144654
8,sawyer_window_close,7,1.3766129660606383,1.9806698989868163,0.5,0.0,0.042767295597484274
8,sawyer_window_close,5,0.5397745591402053,1.6312481999397277,0.3,0.0,0.04779874213836478
8,sawyer_window_close,6,0.3816052085161209,2.0360208702087403,0.5,0.0,0.04465408805031446
9,sawyer_peg_unplug_side,7,0.27494897961616516,1.1127236676216126,0.8,0.1,0.2603773584905661
9,sawyer_peg_unplug_side,5,1.2144005990028381,1.0651223468780517,0.7,0.5,0.24088050314465412
9,sawyer_peg_unplug_side,6,0.3763374465703964,1.0539841961860656,0.6,0.4,0.21194968553459118
