task_id,env,seed,n_rows,pearson,spearman,alpha_scale_start,alpha_scale_end,alpha_scale_delta,logsumexp_start,logsumexp_end,logsumexp_delta,critic_mixture_end
2,sawyer_faucet_close,5,500,,,1.0,1.0,0.0,2.2965849447250366,1.7016739630699158,-0.5949109816551208,0.8389693999290466
2,sawyer_faucet_close,6,500,,,1.0,1.0,0.0,2.4189482641220095,1.5050492548942567,-0.9138990092277528,0.8110341000556945
2,sawyer_faucet_close,7,500,,,1.0,1.0,0.0,2.0403804063796995,1.5705656838417053,-0.4698147225379943,0.8478829109668732
3,sawyer_push_back,5,500,0.601527604061348,0.5764017616070464,1.0368072628974914,0.7495977199077606,-0.2872095429897308,2.047813878059387,1.0387311792373657,-1.0090826988220214,0.6656692326068878
3,sawyer_push_back,6,500,0.3087873158426061,0.5998278713114852,0.8333816599845886,0.6360835862159729,-0.19729807376861563,1.9120158743858338,1.427482979297638,-0.48453289508819575,0.682162047624588
3,sawyer_push_back,7,500,-0.042159628802592275,-0.1494149976599906,0.9859167647361755,0.8661978816986085,-0.11971888303756706,2.065874226093292,1.9175747656822204,-0.14829946041107167,0.7227951979637146
4,sawyer_stick_pull,5,500,0.3612590683350358,-0.1953356293425174,0.8881895446777344,0.5833874452114105,-0.30480209946632386,1.9461879682540895,1.7149178981781006,-0.23127007007598888,0.5304858338832855
4,sawyer_stick_pull,6,500,0.09682309830585939,-0.28990599162396646,0.8563267230987549,0.5775051164627075,-0.2788216066360474,2.021683683395386,1.71585018157959,-0.30583350181579605,0.5331302797794342
4,sawyer_stick_pull,7,500,0.79364885996593,0.07739815145016146,0.7412084102630615,0.6033393180370331,-0.1378690922260284,1.9712019896507262,1.4420685338974,-0.5291334557533263,0.5518417549133301
5,sawyer_handle_press_side,5,500,-0.10521648593285148,-0.6964706898827595,1.0924589347839355,1.3872263145446777,0.2947673797607422,2.509846203327179,0.5551052778959275,-1.9547409254312518,1.271769449710846
5,sawyer_handle_press_side,6,500,-0.05343176333077469,-0.61987620750483,1.1125200748443604,1.2608354663848877,0.1483153915405273,1.4128715550899507,0.5963273549079895,-0.8165442001819612,1.2509233951568604
5,sawyer_handle_press_side,7,500,-0.026278456127782523,-0.5568924675698702,1.1422736525535584,1.5869140672683715,0.4446404147148131,1.2906858181953431,1.4191411912441254,0.1284553730487823,1.3136312079429626
6,sawyer_push,5,500,-0.28578791705586715,-0.4107300589202357,1.2790301656723022,1.3408521246910095,0.06182195901870724,1.6762109565734864,1.8672323441505432,0.19102138757705678,0.4813552612066269
6,sawyer_push,6,500,-0.31884007564425215,0.0008257953031812126,1.363950364589691,1.4053699088096618,0.04141954421997074,1.7799012398719787,1.5898212385177612,-0.19008000135421743,0.47217410802841187
6,sawyer_push,7,500,-0.30858861358369327,0.013354805419221676,1.4463951015472412,1.4919859623908998,0.0455908608436586,1.6204501795768738,1.4693225669860839,-0.15112761259078988,0.49469040691852567
7,sawyer_shelf_place,5,500,-0.12631502931459898,-0.34040430561722246,1.3396284151077271,1.2096390962600707,-0.1299893188476564,1.788332622051239,1.4919792366027833,-0.2963533854484557,0.4504788053035736
7,sawyer_shelf_place,6,500,-0.39797419725948185,-0.08409542639999586,1.3986404299736024,1.4212751746177674,0.02263474464416504,1.4024885952472688,1.5393842887878417,0.13689569354057296,0.4660999470949173
7,sawyer_shelf_place,7,500,0.8275645117115322,0.7242761451045804,1.4788619112968444,1.0562977552413941,-0.4225641560554503,1.76495530128479,1.2448857712745667,-0.5200695300102234,0.4425391709804535
8,sawyer_window_close,5,500,-0.08134584981692197,-0.41895700382801526,1.2567405605316162,1.6312481999397277,0.3745076394081115,2.1225751066207885,1.414407410621643,-0.7081676959991454,0.6445799350738526
8,sawyer_window_close,6,500,-0.05522528544447043,-0.3729319237276949,1.5110733294487,2.0360208702087403,0.5249475407600404,1.9217381024360656,1.2243252766132355,-0.69741282582283,0.6407505118846893
8,sawyer_window_close,7,500,-0.0007126683816652563,-0.5073691334765339,1.4025379848480224,1.9806698989868163,0.578131914138794,2.210164074897766,2.7680593407154084,0.5578952658176424,0.7091349709033966
9,sawyer_peg_unplug_side,5,500,0.15487167006590077,0.04898885313114501,1.3084112644195556,1.0651223468780517,-0.24328891754150384,2.1181166648864744,1.7885058426856995,-0.329610822200775,0.4083876579999924
9,sawyer_peg_unplug_side,6,500,0.059981137926154705,0.12870829083316332,1.3743155336380004,1.0539841961860656,-0.32033133745193476,2.3832226991653442,2.0033366560935972,-0.379886043071747,0.3945933693647385
9,sawyer_peg_unplug_side,7,500,0.24233026354619822,0.2108422833691335,1.3554670214653015,1.1127236676216126,-0.24274335384368895,2.253308231830597,1.6254432773590088,-0.6278649544715882,0.4126533567905426
