run_id,run_name,group,state,task_idx,env,actor_mode,critic_mode,seed,env_name,use_task_id,adapt_heads_only,encoder_from_base,k_max,k_sample_k,intra_eval_previous_tasks,dyn_aux_weight,phi_task_width,phi_task_depth,created_at,evaluator_success_rate_summary,evaluator_mean_return_summary
3h9x0di1,task0_sawyer_hammer_s98,real2,finished,0,sawyer_hammer,cka,cka,98,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:04:39Z,0.8,67.4
cj7yl1kk,task0_sawyer_hammer_s99,real2,finished,0,sawyer_hammer,cka,cka,99,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:04:39Z,0.8,52.4
o8xx7zyo,task0_sawyer_hammer_s97,real2,finished,0,sawyer_hammer,cka,cka,97,sawyer_hammer,False,False,False,10,0,False,,,,2026-04-26T15:04:40Z,0.8,60.0
49etdadh,task0_sawyer_hammer_s101,real2,finished,0,sawyer_hammer,cka,persistent,101,sawyer_hammer,False,True,False,10,0,False,,,,2026-04-26T15:05:05Z,1.0,82.5
mgupjfn2,task0_sawyer_hammer_s101,real2,finished,0,sawyer_hammer,cka,reset,101,sawyer_hammer,False,True,False,10,0,False,,,,2026-04-26T15:05:05Z,0.8,55.6
t9bofcdu,task0_sawyer_hammer_s100,real2,finished,0,sawyer_hammer,cka,reset,100,sawyer_hammer,False,True,False,10,0,False,,,,2026-04-26T15:05:05Z,0.9,72.7
x785leby,task0_sawyer_hammer_s100,real2,finished,0,sawyer_hammer,cka,persistent,100,sawyer_hammer,False,True,False,10,0,False,,,,2026-04-26T15:05:05Z,1.0,75.7
rmt345ky,task0_sawyer_hammer_s101,real2,finished,0,sawyer_hammer,cka,cka,101,sawyer_hammer,False,True,False,10,0,False,,,,2026-04-26T15:05:06Z,1.0,86.3
rsiolcq7,task0_sawyer_hammer_s100,real2,finished,0,sawyer_hammer,cka,cka,100,sawyer_hammer,False,True,False,10,0,False,,,,2026-04-26T15:05:06Z,1.0,67.6
25yr5l7d,task0_sawyer_hammer_s98,real2,finished,0,sawyer_hammer,cka,reset,98,sawyer_hammer,False,True,False,10,0,False,,,,2026-04-26T15:28:04Z,0.7,53.4
vi3g8pce,task0_sawyer_hammer_s99,real2,finished,0,sawyer_hammer,cka,reset,99,sawyer_hammer,False,True,False,10,0,False,,,,2026-04-26T15:28:04Z,0.9,50.5
0ib171qp,task0_sawyer_hammer_s97,real2,finished,0,sawyer_hammer,cka,reset,97,sawyer_hammer,False,True,False,10,0,False,,,,2026-04-26T15:28:05Z,1.0,84.3
r24jhxgt,task0_sawyer_hammer_s97,real2,finished,0,sawyer_hammer,cka,cka,97,sawyer_hammer,False,True,False,10,0,False,,,,2026-04-26T15:28:05Z,0.7,43.9
s1okjb9w,task0_sawyer_hammer_s98,real2,finished,0,sawyer_hammer,cka,cka,98,sawyer_hammer,False,True,False,10,0,False,,,,2026-04-26T15:28:05Z,1.0,75.3
zctwpdkh,task0_sawyer_hammer_s99,real2,finished,0,sawyer_hammer,cka,cka,99,sawyer_hammer,False,True,False,10,0,False,,,,2026-04-26T15:28:05Z,0.9,77.1
410nnaw2,task0_sawyer_hammer_s97,real2,finished,0,sawyer_hammer,cka,persistent,97,sawyer_hammer,False,True,False,10,0,False,,,,2026-04-26T15:28:11Z,1.0,72.8
e1jawjix,task0_sawyer_hammer_s99,real2,finished,0,sawyer_hammer,cka,persistent,99,sawyer_hammer,False,True,False,10,0,False,,,,2026-04-26T15:28:11Z,1.0,99.1
gpxdi1gv,task0_sawyer_hammer_s98,real2,finished,0,sawyer_hammer,cka,persistent,98,sawyer_hammer,False,True,False,10,0,False,,,,2026-04-26T15:28:11Z,0.8,50.4
0t8osppv,task1_sawyer_push_wall_s97,real2,finished,1,sawyer_push_wall,cka,persistent,97,sawyer_push_wall,False,True,False,10,0,False,,,,2026-04-26T19:14:23Z,0.3,9.8
bea5l086,task1_sawyer_push_wall_s98,real2,finished,1,sawyer_push_wall,cka,persistent,98,sawyer_push_wall,False,True,False,10,0,False,,,,2026-04-26T19:14:38Z,0.9,40.0
2gwhnpx4,task1_sawyer_push_wall_s99,real2,finished,1,sawyer_push_wall,cka,persistent,99,sawyer_push_wall,False,True,False,10,0,False,,,,2026-04-26T19:14:54Z,0.8,19.6
a9g40sxv,task1_sawyer_push_wall_s99,real2,finished,1,sawyer_push_wall,cka,reset,99,sawyer_push_wall,False,True,False,10,0,False,,,,2026-04-26T19:16:26Z,0.5,10.5
hpsb9045,task1_sawyer_push_wall_s97,real2,finished,1,sawyer_push_wall,cka,reset,97,sawyer_push_wall,False,True,False,10,0,False,,,,2026-04-26T19:16:33Z,0.2,1.9
capyi3un,task1_sawyer_push_wall_s98,real2,finished,1,sawyer_push_wall,cka,reset,98,sawyer_push_wall,False,True,False,10,0,False,,,,2026-04-26T19:16:36Z,1.0,53.2
dt0l5wzv,task1_sawyer_push_wall_s99,real2,finished,1,sawyer_push_wall,cka,cka,99,sawyer_push_wall,False,False,False,10,0,False,,,,2026-04-26T19:23:09Z,0.8,17.7
9mllbr8t,task1_sawyer_push_wall_s98,real2,finished,1,sawyer_push_wall,cka,cka,98,sawyer_push_wall,False,False,False,10,0,False,,,,2026-04-26T19:24:38Z,0.8,26.9
71aljmtc,task1_sawyer_push_wall_s97,real2,finished,1,sawyer_push_wall,cka,cka,97,sawyer_push_wall,False,False,False,10,0,False,,,,2026-04-26T19:24:57Z,0.7,26.9
laqdyucw,task1_sawyer_push_wall_s99,real2,finished,1,sawyer_push_wall,cka,cka,99,sawyer_push_wall,False,True,False,10,0,False,,,,2026-04-26T19:35:27Z,1.0,59.1
jkeuwk8z,task1_sawyer_push_wall_s97,real2,finished,1,sawyer_push_wall,cka,cka,97,sawyer_push_wall,False,True,False,10,0,False,,,,2026-04-26T19:36:14Z,0.0,0.0
ysdrsjw0,task1_sawyer_push_wall_s98,real2,finished,1,sawyer_push_wall,cka,cka,98,sawyer_push_wall,False,True,False,10,0,False,,,,2026-04-26T19:37:17Z,0.3,4.3
o2mjl3cg,task1_sawyer_push_wall_s101,real2,finished,1,sawyer_push_wall,cka,reset,101,sawyer_push_wall,False,True,False,10,0,False,,,,2026-04-26T21:36:17Z,1.0,36.8
blc1sy8o,task1_sawyer_push_wall_s101,real2,finished,1,sawyer_push_wall,cka,persistent,101,sawyer_push_wall,False,True,False,10,0,False,,,,2026-04-26T21:38:09Z,1.0,52.8
ovmhyvca,task1_sawyer_push_wall_s101,real2,finished,1,sawyer_push_wall,cka,cka,101,sawyer_push_wall,False,True,False,10,0,False,,,,2026-04-26T21:40:31Z,0.6,14.4
pf6sqf1g,task2_sawyer_faucet_close_s97,real2,finished,2,sawyer_faucet_close,cka,persistent,97,sawyer_faucet_close,False,True,False,10,0,False,,,,2026-04-26T22:54:11Z,0.6,24.4
bidhkpck,task2_sawyer_faucet_close_s98,real2,finished,2,sawyer_faucet_close,cka,persistent,98,sawyer_faucet_close,False,True,False,10,0,False,,,,2026-04-26T22:54:42Z,0.2,8.1
ya2efshj,task2_sawyer_faucet_close_s99,real2,finished,2,sawyer_faucet_close,cka,persistent,99,sawyer_faucet_close,False,True,False,10,0,False,,,,2026-04-26T22:54:44Z,0.5,23.1
9baisy54,task2_sawyer_faucet_close_s99,real2,finished,2,sawyer_faucet_close,cka,reset,99,sawyer_faucet_close,False,True,False,10,0,False,,,,2026-04-26T23:06:42Z,0.5,25.0
2e9p9uqs,task2_sawyer_faucet_close_s97,real2,finished,2,sawyer_faucet_close,cka,reset,97,sawyer_faucet_close,False,True,False,10,0,False,,,,2026-04-26T23:06:49Z,0.3,16.6
w4h02ar3,task2_sawyer_faucet_close_s98,real2,finished,2,sawyer_faucet_close,cka,reset,98,sawyer_faucet_close,False,True,False,10,0,False,,,,2026-04-26T23:06:57Z,0.6,21.2
acbg2rv7,task2_sawyer_faucet_close_s99,real2,finished,2,sawyer_faucet_close,cka,cka,99,sawyer_faucet_close,False,False,False,10,0,False,,,,2026-04-26T23:41:51Z,0.1,2.3
c5lkcvg7,task2_sawyer_faucet_close_s98,real2,finished,2,sawyer_faucet_close,cka,cka,98,sawyer_faucet_close,False,False,False,10,0,False,,,,2026-04-26T23:43:34Z,0.5,23.4
5rs21xko,task2_sawyer_faucet_close_s97,real2,finished,2,sawyer_faucet_close,cka,cka,97,sawyer_faucet_close,False,False,False,10,0,False,,,,2026-04-26T23:43:52Z,0.5,25.3
8ncxk0o1,task2_sawyer_faucet_close_s99,real2,finished,2,sawyer_faucet_close,cka,cka,99,sawyer_faucet_close,False,True,False,10,0,False,,,,2026-04-26T23:56:14Z,0.4,11.8
w0pqm1ta,task2_sawyer_faucet_close_s97,real2,finished,2,sawyer_faucet_close,cka,cka,97,sawyer_faucet_close,False,True,False,10,0,False,,,,2026-04-26T23:56:55Z,0.5,23.9
0vs3sqco,task2_sawyer_faucet_close_s98,real2,finished,2,sawyer_faucet_close,cka,cka,98,sawyer_faucet_close,False,True,False,10,0,False,,,,2026-04-26T23:57:47Z,0.4,11.8
pwkd6h9l,task3_sawyer_push_back_s97,real2,finished,3,sawyer_push_back,cka,persistent,97,sawyer_push_back,False,True,False,10,0,False,,,,2026-04-27T02:44:47Z,0.9,26.8
86nqp9fo,task3_sawyer_push_back_s99,real2,finished,3,sawyer_push_back,cka,persistent,99,sawyer_push_back,False,True,False,10,0,False,,,,2026-04-27T02:45:48Z,0.5,22.1
ilib5747,task3_sawyer_push_back_s98,real2,finished,3,sawyer_push_back,cka,persistent,98,sawyer_push_back,False,True,False,10,0,False,,,,2026-04-27T02:46:16Z,0.8,28.2
6o2xr6tz,task3_sawyer_push_back_s99,real2,finished,3,sawyer_push_back,cka,reset,99,sawyer_push_back,False,True,False,10,0,False,,,,2026-04-27T02:53:38Z,1.0,60.1
7st3yf1h,task3_sawyer_push_back_s97,real2,finished,3,sawyer_push_back,cka,reset,97,sawyer_push_back,False,True,False,10,0,False,,,,2026-04-27T02:53:50Z,0.5,13.2
ylqyvnmd,task3_sawyer_push_back_s98,real2,finished,3,sawyer_push_back,cka,reset,98,sawyer_push_back,False,True,False,10,0,False,,,,2026-04-27T02:53:53Z,1.0,44.6
xiy4516u,task2_sawyer_faucet_close_s101,real2,finished,2,sawyer_faucet_close,cka,reset,101,sawyer_faucet_close,False,True,False,10,0,False,,,,2026-04-27T02:55:10Z,0.5,28.0
p71acku2,task2_sawyer_faucet_close_s101,real2,finished,2,sawyer_faucet_close,cka,persistent,101,sawyer_faucet_close,False,True,False,10,0,False,,,,2026-04-27T02:55:58Z,0.6,36.3
kh683yup,task2_sawyer_faucet_close_s101,real2,finished,2,sawyer_faucet_close,cka,cka,101,sawyer_faucet_close,False,True,False,10,0,False,,,,2026-04-27T03:24:24Z,0.4,20.9
sgw4yw39,task3_sawyer_push_back_s99,real2,finished,3,sawyer_push_back,cka,cka,99,sawyer_push_back,False,False,False,10,0,False,,,,2026-04-27T04:04:43Z,1.0,55.5
trg9gr20,task3_sawyer_push_back_s98,real2,finished,3,sawyer_push_back,cka,cka,98,sawyer_push_back,False,False,False,10,0,False,,,,2026-04-27T04:07:15Z,1.0,53.6
ubj6np6c,task3_sawyer_push_back_s97,real2,finished,3,sawyer_push_back,cka,cka,97,sawyer_push_back,False,False,False,10,0,False,,,,2026-04-27T04:07:44Z,1.0,41.5
fuo2seg0,task3_sawyer_push_back_s97,real2,finished,3,sawyer_push_back,cka,cka,97,sawyer_push_back,False,True,False,10,0,False,,,,2026-04-27T04:24:41Z,0.5,9.4
cg1luwnt,task3_sawyer_push_back_s99,real2,finished,3,sawyer_push_back,cka,cka,99,sawyer_push_back,False,True,False,10,0,False,,,,2026-04-27T04:25:03Z,0.7,12.6
fxgfz2uo,task3_sawyer_push_back_s98,real2,finished,3,sawyer_push_back,cka,cka,98,sawyer_push_back,False,True,False,10,0,False,,,,2026-04-27T04:25:52Z,0.7,23.8
1jgfsa9v,task4_sawyer_stick_pull_s97,real2,finished,4,sawyer_stick_pull,cka,persistent,97,sawyer_stick_pull,False,True,False,10,0,False,,,,2026-04-27T06:26:38Z,0.6,22.4
iegip15u,task4_sawyer_stick_pull_s99,real2,finished,4,sawyer_stick_pull,cka,persistent,99,sawyer_stick_pull,False,True,False,10,0,False,,,,2026-04-27T06:27:45Z,0.7,16.2
03khdqjf,task4_sawyer_stick_pull_s98,real2,finished,4,sawyer_stick_pull,cka,persistent,98,sawyer_stick_pull,False,True,False,10,0,False,,,,2026-04-27T06:28:13Z,0.8,19.1
mhbx08vw,task4_sawyer_stick_pull_s99,real2,finished,4,sawyer_stick_pull,cka,reset,99,sawyer_stick_pull,False,True,False,10,0,False,,,,2026-04-27T06:32:49Z,0.6,19.0
zhepyqre,task4_sawyer_stick_pull_s97,real2,finished,4,sawyer_stick_pull,cka,reset,97,sawyer_stick_pull,False,True,False,10,0,False,,,,2026-04-27T06:32:54Z,0.2,3.0
lttm1cv6,task4_sawyer_stick_pull_s98,real2,finished,4,sawyer_stick_pull,cka,reset,98,sawyer_stick_pull,False,True,False,10,0,False,,,,2026-04-27T06:32:55Z,0.8,25.9
e7ff3il1,task3_sawyer_push_back_s101,real2,finished,3,sawyer_push_back,cka,persistent,101,sawyer_push_back,False,True,False,10,0,False,,,,2026-04-27T08:14:24Z,0.8,16.8
362v39l2,task3_sawyer_push_back_s101,real2,finished,3,sawyer_push_back,cka,reset,101,sawyer_push_back,False,True,False,10,0,False,,,,2026-04-27T08:18:21Z,1.0,57.1
wcgzaicl,task4_sawyer_stick_pull_s99,real2,finished,4,sawyer_stick_pull,cka,cka,99,sawyer_stick_pull,False,False,False,10,0,False,,,,2026-04-27T08:22:43Z,0.9,37.9
